code,name,EBITDA마진율(%),차입금의존도(%),차입금/EBITDA(TTM)(배),현금흐름(TTM)/차입금(%),금융비용(천원),자본총계(천원),이자발생부채(천원),C>=5,D<=50,E<=10,F>=10,G/H<=0.75,score,internal_rating,ag3_reason
0015N,아로마티카,12.31,7.45,,,48186.33,43831342.75,3962380.44,1,1,,,1,,AG3,재무정보 미제공
0015S,페스카로,11.65,1.02,0.51,,6892.46,62242587.21,693428.42,1,1,1,,1,,AG3,재무정보 미제공
00162,케이비아이동국실업,5.5,26.39,3.42,34.39,2318327.93,286030554.41,242111979.99,1,1,1,1,1,0,AG2,
00163,종근당홀딩스,12.69,33.81,5.29,19.28,7135896.21,923720408.52,567562130.68,1,1,1,1,1,0,AG2,
00168,대상,8.95,42.24,4.23,-9.48,21699170.65,1116085792.99,1569055735.75,1,1,1,0,1,1,AG2,
00172,신영증권,5.78,10.65,7.4,,,1996481013.17,1359808709,1,1,1,,,,AG3,재무정보 미제공
00174,SK네트웍스,4.14,32.04,7.49,10.8,27884000,2137964000,1849231000,0,1,1,1,1,1,AG2,
00175,한양증권,5.19,12.77,3.41,21.61,,647781440.38,945628951,1,1,1,1,,,AG3,재무정보 미제공
00177,SHD,0.36,16.41,5.27,16.21,77048.22,55183696.05,14520000,0,1,1,1,1,1,AG2,
00178,알루코,15.48,49.13,5.01,15.21,11151759.23,427269898.26,499867015.75,1,1,1,1,1,0,AG2,
00179,대한제당,2.64,31.47,5.95,-11.78,5977069,483653375,396777215,0,1,1,0,1,2,AG2,
0017J,세미티에스,14.24,0.19,,,2164,36016836,92180,1,1,,,1,,AG3,재무정보 미제공
00180,오리온홀딩스,24.72,3.57,0.3,294.43,8886376,5250359556.32,230911329.81,1,1,1,1,1,0,AG2,
00181,무림SP,1.36,28.18,26.23,-1.89,3892944.58,198021124.19,97003664.27,0,1,0,0,1,3,AG3,score
00182,삼화콘덴서,12.68,0.89,0.11,838.98,1277222.07,281254982.81,3121553.66,1,1,1,1,1,0,AG2,
00184,이화공영,-5.84,10.98,1.42,26.98,67312.7,14801661.19,5348135.83,0,1,1,1,1,1,AG2,
00194,KISCO홀딩스,-5.62,0.66,-0.23,1.39,2325832.17,1454191059.82,10820511.29,0,1,1,0,1,2,AG2,
00202,코오롱,8.24,34.2,16.84,-7.62,142686942.09,2611812731.56,2717165763.92,1,1,0,0,1,2,AG2,
00203,아세아,12.85,24.44,3.17,24.21,9293179,2032212977,812929132,1,1,1,1,1,0,AG2,
00207,비비안,-2.17,45.43,-23.04,-11.3,2259241.65,76716571.12,103816304,0,1,1,0,1,2,AG2,
00210,경농,22.59,27.19,3.22,25.43,1388072.3,303702715.58,145788414.26,1,1,1,1,1,0,AG2,
00214,고려산업,5.89,42.31,5.59,11.96,1130185,117318168.05,120825635.08,1,1,1,1,1,0,AG2,
00215,도화엔지니어링,0.46,26.62,5.49,7.92,1727945.44,242181770.56,194438097.63,0,1,1,0,1,2,AG2,
